bacteria_relative,phage_relative,bacteria_logratio,phage_logratio,category,threshold,scenario
0.012795566752832,0.012963022929583,0.012879743976373,0.01287204598821,mean,0.1,growth-decay_regimes
0.013638462532794,0.014602848003555,0.014109608907375,0.014101253873648,std,0.1,growth-decay_regimes
0.084430007178076,0.092215810346525,0.088208464680268,0.088208486319228,max,0.1,growth-decay_regimes
0.020272788312594,0.001315616193374,0.020070031062757,0.001316482376151,end,0.1,growth-decay_regimes
0.008979234033087,0.008882979313227,0.008939633962047,0.008922087038922,median,0.1,growth-decay_regimes
0.005021088956647,0.005048613275903,0.004991033005984,0.005078114196779,mad,0.1,growth-decay_regimes
0.08327030388318,0.087442708818003,0.085969526173855,0.082850524093289,mean,0.5,growth-decay_regimes
0.077291400308355,0.118662987597183,0.094411271933844,0.09271009830916,std,0.5,growth-decay_regimes
0.444181827827336,0.793070023144175,0.587314066683457,0.583929247482384,max,0.5,growth-decay_regimes
0.153771245834096,0.003200801438958,0.143035921256144,0.003195689778734,end,0.5,growth-decay_regimes
0.071871772487513,0.057850158517257,0.070038421289951,0.059373284196098,median,0.5,growth-decay_regimes
0.043583652956548,0.035697865801851,0.040911989210719,0.0378218376505,mad,0.5,growth-decay_regimes
0.117190746147426,0.125202296327151,0.121870361998267,0.115349591664565,mean,1,growth-decay_regimes
0.107019333843589,0.190711945796684,0.138697619291172,0.132926486724102,std,1,growth-decay_regimes
0.572054482546375,1.30903103387928,0.848759387172222,0.836827970680165,max,1,growth-decay_regimes
0.237515867173285,0.006843788888428,0.213106037336718,0.006820476468334,end,1,growth-decay_regimes
0.106638059448404,0.081476952964288,0.102624097751229,0.084111796812471,median,1,growth-decay_regimes
0.064787615027883,0.051875510646173,0.063058437711425,0.057215835842082,mad,1,growth-decay_regimes
0.148181277440705,0.159657382486184,0.154349498651312,0.14258592931753,mean,1.5,growth-decay_regimes
0.132277892729024,0.268751125634703,0.177929506628058,0.168598984812203,std,1.5,growth-decay_regimes
0.659992805651887,1.88107493029842,1.0787885017484,1.0581634641982,max,1.5,growth-decay_regimes
0.317282820137755,0.014656305875554,0.275571145445193,0.014549940249848,end,1.5,growth-decay_regimes
0.138434001902106,0.098604305851182,0.131785556358919,0.102198181481886,median,1.5,growth-decay_regimes
0.088892465068246,0.066086334552667,0.086227319600928,0.074728123447927,mad,1.5,growth-decay_regimes
0.179245325995321,0.194831491939979,0.186255265150042,0.16797065413992,mean,2,growth-decay_regimes
0.157056434764068,0.359901883467042,0.215970711199002,0.203209143084939,std,2,growth-decay_regimes
0.727467925190731,2.56259305211517,1.29999896608353,1.27048866514563,max,2,growth-decay_regimes
0.401093800849751,0.026978675163317,0.33725321789718,0.026621166527646,end,2,growth-decay_regimes
0.169798234599023,0.112721453694752,0.160141725149726,0.117176264167904,median,2,growth-decay_regimes
0.117225022507501,0.080609892632679,0.107648776373378,0.091896754372879,mad,2,growth-decay_regimes
0.004884442077303,0.009770750605808,0.004870110668984,0.009838175588858,mean,0.1,decay
0.002223364625181,0.006180779519876,0.002214650782444,0.006242613217564,std,0.1,decay
0.007798045662868,0.020496436971659,0.007767798051197,0.020709404005034,max,0.1,decay
0.00326411239926,0.020496436971659,0.003258796748496,0.020709404005034,end,0.1,decay
0.005447174471471,0.009775086135349,0.00543239227311,0.009823175934488,median,0.1,decay
0.001284168354807,0.005408306617804,0.001277300604493,0.005462552185005,mad,0.1,decay
0.015187266676695,0.013688781120822,0.015044359998616,0.013808403938407,mean,0.5,decay
0.008474854674097,0.007091593883061,0.008368302279377,0.007182833576067,std,0.5,decay
0.023422511002027,0.024954840451993,0.023152413435808,0.025271491571776,max,0.5,decay
0.018818285596623,0.024954840451993,0.018643412133107,0.025271491571776,end,0.5,decay
0.019859312032442,0.014282289956668,0.019664688403084,0.014385263501218,median,0.5,decay
0.003116469959096,0.005392219260743,0.003051460930541,0.005471194914772,mad,0.5,decay
0.029475280002876,0.017269811899761,0.028952354322236,0.017446740554032,mean,1,decay
0.016566186038178,0.007636139845088,0.016190125716325,0.007754633797172,std,1,decay
0.043294174411415,0.028704285791877,0.042383182666569,0.029124311012164,max,1,decay
0.038600549352853,0.028704285791877,0.037874181363868,0.029124311012164,end,1,decay
0.039661789265228,0.018072775595403,0.038895457633845,0.018238082941628,median,1,decay
0.003176982055895,0.005079113500389,0.003051460930541,0.005177866252286,mad,1,decay
0.044236106844575,0.019647379094108,0.043071317488227,0.019866972155775,mean,1.5,decay
0.024696588866317,0.008047476280687,0.02388216681176,0.00818248453082,std,1.5,decay
0.063551683356149,0.031163297441534,0.061613951897319,0.031659202904223,max,1.5,decay
0.05876692278285,0.031163297441534,0.057104950594618,0.031659202904223,end,1.5,decay
0.059848768654259,0.020752898136904,0.058126226864595,0.020953695775295,median,1.5,decay
0.003238669108304,0.004953713521513,0.003051460930541,0.005063561933884,mad,1.5,decay
0.059615088394857,0.0226437439691,0.057541179102567,0.022927663671747,mean,2,decay
0.032734157316422,0.008730483691729,0.031315273846835,0.008888289499041,std,2,decay
0.084202529749485,0.034372500531063,0.08084472112812,0.034977130452582,max,2,decay
0.079324864094868,0.034372500531063,0.076335719825419,0.034977130452582,end,2,decay
0.080427716028569,0.024074159129442,0.077356996095396,0.024354454561561,median,2,decay
0.003301553930284,0.004983318323065,0.003051460930541,0.005089979113775,mad,2,decay
0.025934375361809,0.005327781306241,0.02643121677809,0.005308384424226,mean,0.1,growth
0.039671641936865,0.003582241668422,0.041617150562554,0.003562095568721,std,0.1,growth
0.180790047989596,0.013174752069298,0.199414876320486,0.013088719834996,max,0.1,growth
0.180790047989596,0.013174752069298,0.199414876320486,0.013088719834996,end,0.1,growth
0.005242485666961,0.005290666409889,0.005256275712136,0.005285817055309,median,0.1,growth
0.002935585553561,0.003315750026974,0.002897871633557,0.003298899423006,mad,0.1,growth
0.040926626172054,0.017914501227144,0.043873316889974,0.01811570098333,mean,0.5,growth
0.066778472347582,0.012247396312325,0.075313547943499,0.012571935747417,std,0.5,growth
0.289060740150127,0.056506932531797,0.341168282012603,0.058166261875987,max,0.5,growth
0.289060740150127,0.016613633565049,0.341168282012603,0.016477136884127,end,0.5,growth
0.006364956671474,0.015873808168932,0.006385299374412,0.015777136884127,median,0.5,growth
0.005940551466751,0.008888365150064,0.005960984204105,0.009081966405739,mad,0.5,growth
0.095204530684113,0.032060620971305,0.115569660537022,0.032808347597841,mean,1,growth
0.144820961488093,0.024081482895568,0.185291626155536,0.025051589402982,std,1,growth
0.496819880954088,0.06660938949639,0.686807083426663,0.068931504973189,max,1,growth
0.496819880954088,0.020910494459021,0.686807083426663,0.020694870755064,end,1,growth
0.006174508226601,0.018997061732487,0.006193649334482,0.018862104587102,median,1,growth
0.005907093536843,0.012655916426444,0.0059202480397,0.012755051894491,mad,1,growth
0.101203136507488,0.047153738419861,0.127547020992154,0.048997342741546,mean,1.5,growth
0.162833783771438,0.038780761042776,0.217807298600808,0.041187690716645,std,1.5,growth
0.557947719755434,0.107168793739942,0.816327122802792,0.113357734717668,max,1.5,growth
0.557947719755434,0.025205438456976,0.816327122802792,0.024893020270314,end,1.5,growth
0.005548448925688,0.023828487865756,0.00556389874328,0.023605020270314,median,1.5,growth
0.005262959480416,0.017156349021515,0.005278450042365,0.017138624056157,mad,1.5,growth
0.134889248105007,0.060588083502315,0.182096954951627,0.063891600023015,mean,2,growth
0.203419469409406,0.052718283574388,0.295442571575827,0.057178224257321,std,2,growth
0.655858547130835,0.139929042439826,1.06670250592731,0.150740384347347,max,2,growth
0.655858547130835,0.029498484148212,1.06670250592731,0.029071775069093,end,2,growth
0.005773077879631,0.028029409481803,0.005789806508589,0.027672304504089,median,2,growth
0.005532760204304,0.019993281890561,0.005549517704929,0.019968435184686,mad,2,growth
0.02156559236936,0.019743292071359,0.021114513198031,0.020021136048714,mean,0.1,no-growth-no-decay
0.023865887532871,0.012454147103342,0.023012310916424,0.012661848691047,std,0.1,no-growth-no-decay
0.085079021596432,0.03388150359836,0.08165281530483,0.034468785210167,max,0.1,no-growth-no-decay
0.085079021596432,0.024733312397091,0.08165281530483,0.025044319639063,end,0.1,no-growth-no-decay
0.012021782257133,0.025406884216336,0.012079216887621,0.025735212230283,median,0.1,no-growth-no-decay
0.008794412245546,0.007279823945324,0.008804941347915,0.00749022834882,mad,0.1,no-growth-no-decay
0.100851557543066,0.070362845540799,0.113565968215566,0.067433510177221,mean,0.5,no-growth-no-decay
0.105548859921424,0.035833125980188,0.123494643444737,0.033649783377663,std,0.5,no-growth-no-decay
0.309741723202138,0.121879173565351,0.370689437229115,0.115005112857259,max,0.5,no-growth-no-decay
0.309741723202138,0.046484502856275,0.370689437229115,0.045436454247949,end,0.5,no-growth-no-decay
0.037446343937881,0.076689850133627,0.038165467815934,0.073891380966483,median,0.5,no-growth-no-decay
0.037091251939339,0.030425816703611,0.037855627574711,0.028519801456518,mad,0.5,no-growth-no-decay
0.141021549563757,0.104373423518682,0.166075319285674,0.0972098137011,mean,1,no-growth-no-decay
0.140949355769501,0.071230767964954,0.176010355917942,0.064225996351715,std,1,no-growth-no-decay
0.395734891911441,0.214197634844864,0.503742256668403,0.194083475799982,max,1,no-growth-no-decay
0.395734891911441,0.046484502856268,0.503742256668403,0.045436454247942,end,1,no-growth-no-decay
0.06765207431344,0.085860109849146,0.066054286000008,0.082372400921124,median,1,no-growth-no-decay
0.065614424620104,0.063296013252949,0.064498206932246,0.05861953355479,mad,1,no-growth-no-decay
0.166293901132825,0.128014962874401,0.200285761048874,0.116467997037856,mean,1.5,no-growth-no-decay
0.159040149791655,0.101906728416016,0.206346117280255,0.088848889120498,std,1.5,no-growth-no-decay
0.44030436311035,0.296847267080955,0.580362148559821,0.259936139788771,max,1.5,no-growth-no-decay
0.44030436311035,0.046484502856275,0.580362148559821,0.045436454247948,end,1.5,no-growth-no-decay
0.098989034946332,0.085860109849153,0.095972039536784,0.08237240092113,median,1.5,no-growth-no-decay
0.094919978966853,0.065360466080889,0.09297614024798,0.06119965935592,mad,1.5,no-growth-no-decay
0.182726877713496,0.145510001753222,0.22197084199875,0.129845276282354,mean,2,no-growth-no-decay
0.167844195652129,0.128076224914745,0.222426207332224,0.108485648062575,std,2,no-growth-no-decay
0.463499387958507,0.373917914184547,0.62268757610776,0.317666449791755,max,2,no-growth-no-decay
0.463499387958507,0.046484502856282,0.62268757610776,0.045436454247955,end,2,no-growth-no-decay
0.125432689002407,0.08586010984916,0.121014261774475,0.082372400921137,median,2,no-growth-no-decay
0.119662595496874,0.065373691166723,0.116934479641241,0.06122621511477,mad,2,no-growth-no-decay
